200, 6.25, 400, 9.7025e-08, 4.12265e+09
300, 9.375, 600, 1.48525e-07, 4.03972e+09
400, 12.5, 800, 1.64175e-07, 4.87285e+09
800, 25, 1600, 3.1975e-07, 5.00391e+09
2000, 62.5, 4000, 1.88825e-06, 2.11836e+09
4000, 125, 8000, 2.62088e-06, 3.05242e+09
6000, 187.5, 12000, 4.1287e-06, 2.90648e+09
8000, 250, 16000, 6.1237e-06, 2.6128e+09
20000, 625, 40000, 2.16522e-05, 1.84739e+09
40000, 1250, 80000, 4.44578e-05, 1.79946e+09
60000, 1875, 120000, 6.85749e-05, 1.74991e+09
100000, 3125, 200000, 0.000177662, 1.12573e+09
200000, 6250, 400000, 0.000643966, 6.21151e+08
300000, 9375, 600000, 0.000952705, 6.29786e+08
1000000, 31250, 2e+06, 0.00318173, 6.28589e+08
5000000, 156250, 1e+07, 0.016357, 6.1136e+08
2000000, 62500, 4e+06, 0.00647612, 6.17654e+08
10000000, 312500, 2e+07, 0.031883, 6.27293e+08
